"class" "cap-color" "habitat" "ring-number" "odor"
"2253" "edible" "gray" "grasses" "one" "none"
"2254" "edible" "gray" "woods" "one" "none"
"2255" "edible" "brown" "woods" "one" "none"
"2256" "edible" "gray" "woods" "one" "none"
"2257" "edible" "brown" "woods" "one" "none"
"2258" "edible" "gray" "woods" "one" "none"
"2259" "edible" "red" "woods" "one" "none"
"2260" "edible" "brown" "woods" "one" "none"
"2261" "edible" "gray" "grasses" "one" "none"
"2262" "edible" "brown" "woods" "one" "none"
"2263" "edible" "brown" "woods" "one" "none"
"2264" "edible" "red" "woods" "one" "none"
"2265" "edible" "red" "woods" "one" "none"
"2266" "edible" "brown" "woods" "one" "none"
"2267" "edible" "white" "grasses" "one" "none"
"2268" "edible" "brown" "woods" "one" "none"
"2269" "edible" "red" "woods" "one" "none"
"2270" "edible" "gray" "woods" "one" "none"
"2271" "edible" "gray" "woods" "one" "none"
"2272" "edible" "brown" "grasses" "one" "none"
"2273" "edible" "gray" "woods" "one" "none"
"2274" "edible" "red" "woods" "one" "none"
"2275" "edible" "gray" "woods" "one" "none"
"2276" "edible" "brown" "woods" "one" "none"
"2277" "edible" "red" "woods" "one" "none"
"2278" "edible" "brown" "woods" "one" "none"
"2279" "edible" "gray" "woods" "one" "none"
"2280" "edible" "gray" "woods" "one" "none"
"2281" "edible" "brown" "woods" "one" "none"
"2282" "edible" "brown" "woods" "one" "none"
"2283" "edible" "red" "woods" "one" "none"
"2284" "edible" "gray" "woods" "one" "none"
"2285" "edible" "brown" "woods" "one" "none"
"2286" "poison" "pink" "woods" "one" "creosote"
"2287" "edible" "gray" "woods" "one" "none"
"2288" "edible" "brown" "woods" "one" "none"
"2289" "poison" "brown" "urban" "one" "pungent"
"2290" "edible" "brown" "woods" "one" "none"
"2291" "edible" "gray" "woods" "one" "none"
"2292" "edible" "red" "woods" "one" "none"
"2293" "edible" "red" "woods" "one" "none"
"2294" "edible" "red" "woods" "one" "none"
"2295" "edible" "gray" "woods" "one" "none"
"2296" "edible" "white" "grasses" "one" "none"
"2297" "edible" "gray" "woods" "one" "none"
"2298" "edible" "brown" "grasses" "one" "none"
"2299" "edible" "brown" "woods" "one" "none"
"2300" "edible" "gray" "woods" "one" "none"
"2301" "edible" "red" "woods" "one" "none"
"2302" "edible" "brown" "woods" "one" "none"
"2303" "edible" "gray" "woods" "one" "none"
"2304" "edible" "gray" "woods" "one" "none"
"2305" "edible" "gray" "woods" "one" "none"
"2306" "edible" "gray" "woods" "one" "none"
"2307" "edible" "gray" "woods" "one" "none"
"2308" "edible" "red" "woods" "one" "none"
"2309" "edible" "red" "woods" "one" "none"
"2310" "edible" "brown" "woods" "one" "none"
"2311" "edible" "brown" "woods" "one" "none"
"2312" "edible" "brown" "woods" "one" "none"
"2313" "edible" "brown" "woods" "one" "none"
"2314" "edible" "gray" "woods" "one" "none"
"2315" "edible" "red" "woods" "one" "none"
"2316" "edible" "brown" "woods" "one" "none"
"2317" "edible" "red" "woods" "one" "none"
"2318" "edible" "brown" "woods" "one" "none"
"2319" "edible" "gray" "woods" "one" "none"
"2320" "edible" "brown" "woods" "one" "none"
"2321" "edible" "gray" "woods" "one" "none"
"2322" "edible" "red" "woods" "one" "none"
"2323" "edible" "brown" "woods" "one" "none"
"2324" "edible" "gray" "woods" "one" "none"
"2325" "edible" "red" "woods" "one" "none"
"2326" "edible" "brown" "woods" "one" "none"
"2327" "edible" "brown" "woods" "one" "none"
"2328" "edible" "gray" "woods" "one" "none"
"2329" "edible" "brown" "woods" "one" "none"
"2330" "edible" "red" "woods" "one" "none"
"2331" "edible" "brown" "woods" "one" "none"
"2332" "edible" "brown" "woods" "one" "none"
"2333" "edible" "brown" "woods" "one" "none"
"2334" "edible" "red" "woods" "one" "none"
"2335" "edible" "red" "woods" "one" "none"
"2336" "edible" "gray" "woods" "one" "none"
"2337" "edible" "gray" "woods" "one" "none"
"2338" "edible" "red" "woods" "one" "none"
"2339" "edible" "brown" "woods" "one" "none"
"2340" "edible" "red" "woods" "one" "none"
"2341" "edible" "gray" "woods" "one" "none"
"2342" "edible" "gray" "woods" "one" "none"
"2343" "edible" "red" "woods" "one" "none"
"2344" "edible" "brown" "woods" "one" "none"
"2345" "edible" "brown" "woods" "one" "none"
"2346" "edible" "gray" "woods" "one" "none"
"2347" "edible" "white" "grasses" "one" "none"
"2348" "edible" "gray" "woods" "one" "none"
"2349" "edible" "gray" "grasses" "one" "none"
"2350" "edible" "brown" "woods" "one" "none"
"2351" "edible" "red" "woods" "one" "none"
"2352" "poison" "white" "urban" "one" "pungent"
"2353" "edible" "gray" "woods" "one" "none"
"2354" "edible" "brown" "woods" "one" "none"
"2355" "edible" "gray" "woods" "one" "none"
"2356" "edible" "red" "woods" "one" "none"
"2357" "edible" "gray" "woods" "one" "none"
"2358" "edible" "brown" "woods" "one" "none"
"2359" "edible" "red" "woods" "one" "none"
"2360" "edible" "brown" "woods" "one" "none"
"2361" "edible" "brown" "woods" "one" "none"
"2362" "edible" "brown" "woods" "one" "none"
"2363" "edible" "gray" "woods" "one" "none"
"2364" "edible" "brown" "woods" "one" "none"
"2365" "edible" "red" "woods" "one" "none"
"2366" "edible" "brown" "woods" "one" "none"
"2367" "edible" "red" "woods" "one" "none"
"2368" "edible" "white" "grasses" "one" "none"
"2369" "edible" "brown" "woods" "one" "none"
"2370" "edible" "gray" "woods" "one" "none"
"2371" "edible" "brown" "woods" "one" "none"
"2372" "edible" "red" "woods" "one" "none"
"2373" "edible" "brown" "woods" "one" "none"
"2374" "edible" "brown" "woods" "one" "none"
"2375" "edible" "brown" "woods" "one" "none"
"2376" "poison" "white" "urban" "one" "pungent"
"2377" "edible" "gray" "woods" "one" "none"
"2378" "edible" "white" "grasses" "one" "none"
"2379" "edible" "gray" "grasses" "one" "none"
"2380" "edible" "gray" "woods" "one" "none"
"2381" "edible" "brown" "woods" "one" "none"
"2382" "edible" "red" "woods" "one" "none"
"2383" "edible" "gray" "woods" "one" "none"
"2384" "edible" "brown" "woods" "one" "none"
"2385" "edible" "brown" "woods" "one" "none"
"2386" "poison" "gray" "woods" "one" "foul"
"2387" "edible" "red" "woods" "one" "none"
"2388" "edible" "brown" "grasses" "one" "none"
"2389" "poison" "white" "grasses" "one" "pungent"
"2390" "edible" "gray" "woods" "one" "none"
"2391" "edible" "brown" "woods" "one" "none"
"2392" "edible" "brown" "woods" "one" "none"
"2393" "edible" "gray" "woods" "one" "none"
"2394" "edible" "gray" "woods" "one" "none"
"2395" "edible" "brown" "woods" "one" "none"
"2396" "edible" "brown" "woods" "one" "none"
"2397" "edible" "gray" "woods" "one" "none"
"2398" "edible" "gray" "woods" "one" "none"
"2399" "edible" "red" "woods" "one" "none"
"2400" "edible" "red" "woods" "one" "none"
"2401" "poison" "white" "grasses" "one" "pungent"
"2402" "edible" "gray" "woods" "one" "none"
"2403" "edible" "gray" "woods" "one" "none"
"2404" "edible" "red" "woods" "one" "none"
"2405" "edible" "gray" "woods" "one" "none"
"2406" "edible" "brown" "woods" "one" "none"
"2407" "edible" "red" "woods" "one" "none"
"2408" "edible" "red" "woods" "one" "none"
"2409" "edible" "red" "woods" "one" "none"
"2410" "edible" "gray" "woods" "one" "none"
"2411" "edible" "gray" "woods" "one" "none"
"2412" "edible" "brown" "woods" "one" "none"
"2413" "edible" "brown" "woods" "one" "none"
"2414" "edible" "gray" "woods" "one" "none"
"2415" "edible" "gray" "woods" "one" "none"
"2416" "edible" "brown" "woods" "one" "none"
"2417" "edible" "brown" "woods" "one" "none"
"2418" "edible" "brown" "woods" "one" "none"
"2419" "edible" "brown" "woods" "one" "none"
"2420" "edible" "brown" "woods" "one" "none"
"2421" "edible" "brown" "woods" "one" "none"
"2422" "edible" "brown" "woods" "one" "none"
"2423" "edible" "brown" "woods" "one" "none"
"2424" "edible" "gray" "woods" "one" "none"
"2425" "edible" "red" "woods" "one" "none"
"2426" "edible" "brown" "woods" "one" "none"
"2427" "poison" "pink" "woods" "one" "creosote"
"2428" "edible" "red" "woods" "one" "none"
"2429" "edible" "brown" "woods" "one" "none"
"2430" "edible" "brown" "woods" "one" "none"
"2431" "edible" "red" "woods" "one" "none"
"2432" "edible" "red" "woods" "one" "none"
"2433" "edible" "gray" "woods" "one" "none"
"2434" "edible" "gray" "woods" "one" "none"
"2435" "edible" "gray" "woods" "one" "none"
"2436" "edible" "gray" "woods" "one" "none"
"2437" "edible" "gray" "woods" "one" "none"
"2438" "edible" "red" "woods" "one" "none"
"2439" "edible" "brown" "woods" "one" "none"
"2440" "edible" "red" "woods" "one" "none"
"2441" "edible" "gray" "woods" "one" "none"
"2442" "edible" "gray" "woods" "one" "none"
"2443" "edible" "gray" "woods" "one" "none"
"2444" "poison" "gray" "grasses" "one" "foul"
"2445" "edible" "brown" "woods" "one" "none"
"2446" "edible" "red" "woods" "one" "none"
"2447" "edible" "brown" "woods" "one" "none"
"2448" "edible" "brown" "woods" "one" "none"
"2449" "edible" "brown" "woods" "one" "none"
"2450" "edible" "gray" "woods" "one" "none"
"2451" "edible" "gray" "woods" "one" "none"
"2452" "edible" "gray" "woods" "one" "none"
"2453" "edible" "gray" "grasses" "one" "none"
"2454" "edible" "gray" "woods" "one" "none"
"2455" "edible" "red" "woods" "one" "none"
"2456" "edible" "brown" "woods" "one" "none"
"2457" "edible" "red" "woods" "one" "none"
"2458" "edible" "gray" "woods" "one" "none"
"2459" "edible" "brown" "woods" "one" "none"
"2460" "edible" "red" "woods" "one" "none"
"2461" "edible" "brown" "woods" "one" "none"
"2462" "edible" "gray" "woods" "one" "none"
"2463" "edible" "gray" "woods" "one" "none"
"2464" "edible" "gray" "woods" "one" "none"
"2465" "edible" "brown" "woods" "one" "none"
"2466" "edible" "gray" "woods" "one" "none"
"2467" "edible" "brown" "woods" "one" "none"
"2468" "edible" "red" "woods" "one" "none"
"2469" "edible" "brown" "woods" "one" "none"
"2470" "edible" "gray" "woods" "one" "none"
"2471" "edible" "gray" "woods" "one" "none"
"2472" "edible" "gray" "woods" "one" "none"
"2473" "edible" "brown" "woods" "one" "none"
"2474" "edible" "gray" "woods" "one" "none"
"2475" "edible" "gray" "woods" "one" "none"
"2476" "edible" "red" "woods" "one" "none"
"2477" "edible" "brown" "woods" "one" "none"
"2478" "edible" "gray" "woods" "one" "none"
"2479" "poison" "brown" "urban" "one" "pungent"
"2480" "edible" "gray" "grasses" "one" "none"
"2481" "edible" "gray" "woods" "one" "none"
"2482" "edible" "red" "woods" "one" "none"
"2483" "poison" "pink" "woods" "one" "creosote"
"2484" "edible" "brown" "woods" "one" "none"
"2485" "edible" "red" "woods" "one" "none"
"2486" "edible" "brown" "woods" "one" "none"
"2487" "edible" "red" "woods" "one" "none"
"2488" "edible" "white" "grasses" "one" "none"
"2489" "edible" "gray" "woods" "one" "none"
"2490" "edible" "gray" "woods" "one" "none"
"2491" "edible" "gray" "woods" "one" "none"
"2492" "edible" "red" "woods" "one" "none"
"2493" "edible" "gray" "woods" "one" "none"
"2494" "edible" "gray" "woods" "one" "none"
"2495" "edible" "red" "woods" "one" "none"
"2496" "poison" "white" "urban" "one" "pungent"
"2497" "edible" "brown" "woods" "one" "none"
"2498" "edible" "red" "woods" "one" "none"
"2499" "edible" "red" "woods" "one" "none"
"2500" "edible" "gray" "woods" "one" "none"
"2501" "edible" "white" "grasses" "one" "none"
"2502" "edible" "brown" "grasses" "one" "none"
"2503" "edible" "brown" "woods" "one" "none"
"2504" "edible" "brown" "woods" "one" "none"
"2505" "edible" "red" "woods" "one" "none"
"2506" "edible" "red" "woods" "one" "none"
"2507" "edible" "red" "woods" "one" "none"
"2508" "edible" "brown" "woods" "one" "none"
"2509" "edible" "gray" "woods" "one" "none"
"2510" "edible" "brown" "woods" "one" "none"
"2511" "edible" "red" "woods" "one" "none"
"2512" "edible" "red" "woods" "one" "none"
"2513" "poison" "white" "woods" "one" "creosote"
"2514" "edible" "brown" "woods" "one" "none"
"2515" "edible" "gray" "woods" "one" "none"
"2516" "edible" "brown" "woods" "one" "none"
"2517" "edible" "brown" "woods" "one" "none"
"2518" "edible" "red" "woods" "one" "none"
"2519" "edible" "white" "grasses" "one" "none"
"2520" "edible" "gray" "woods" "one" "none"
"2521" "edible" "red" "woods" "one" "none"
"2522" "edible" "brown" "woods" "one" "none"
"2523" "edible" "brown" "woods" "one" "none"
"2524" "edible" "brown" "woods" "one" "none"
"2525" "edible" "gray" "woods" "one" "none"
"2526" "edible" "brown" "woods" "one" "none"
"2527" "edible" "gray" "woods" "one" "none"
"2528" "edible" "brown" "woods" "one" "none"
"2529" "edible" "brown" "woods" "one" "none"
"2530" "edible" "brown" "woods" "one" "none"
"2531" "edible" "gray" "woods" "one" "none"
"2532" "edible" "red" "woods" "one" "none"
"2533" "edible" "brown" "woods" "one" "none"
"2534" "poison" "gray" "paths" "one" "foul"
"2535" "edible" "gray" "woods" "one" "none"
"2536" "edible" "red" "woods" "one" "none"
"2537" "poison" "gray" "woods" "one" "foul"
"2538" "edible" "red" "woods" "one" "none"
"2539" "edible" "red" "woods" "one" "none"
"2540" "poison" "gray" "woods" "one" "foul"
"2541" "poison" "pink" "woods" "one" "creosote"
"2542" "edible" "gray" "woods" "one" "none"
"2543" "edible" "gray" "woods" "one" "none"
"2544" "edible" "gray" "woods" "one" "none"
"2545" "edible" "gray" "woods" "one" "none"
"2546" "edible" "gray" "woods" "one" "none"
"2547" "edible" "gray" "woods" "one" "none"
"2548" "edible" "gray" "woods" "one" "none"
"2549" "edible" "red" "woods" "one" "none"
"2550" "edible" "brown" "woods" "one" "none"
"2551" "edible" "brown" "woods" "one" "none"
"2552" "edible" "brown" "woods" "one" "none"
"2553" "edible" "brown" "woods" "one" "none"
"2554" "edible" "gray" "woods" "one" "none"
"2555" "edible" "gray" "woods" "one" "none"
"2556" "edible" "brown" "woods" "one" "none"
"2557" "edible" "red" "woods" "one" "none"
"2558" "edible" "brown" "woods" "one" "none"
"2559" "edible" "gray" "woods" "one" "none"
"2560" "edible" "brown" "woods" "one" "none"
"2561" "poison" "white" "woods" "one" "creosote"
"2562" "edible" "brown" "woods" "one" "none"
"2563" "edible" "red" "woods" "one" "none"
"2564" "edible" "brown" "woods" "one" "none"
"2565" "edible" "gray" "woods" "one" "none"
"2566" "edible" "red" "woods" "one" "none"
"2567" "poison" "gray" "woods" "one" "foul"
"2568" "edible" "red" "woods" "one" "none"
"2569" "edible" "gray" "woods" "one" "none"
"2570" "edible" "red" "woods" "one" "none"
"2571" "edible" "red" "woods" "one" "none"
"2572" "poison" "gray" "grasses" "one" "foul"
"2573" "edible" "brown" "woods" "one" "none"
"2574" "edible" "brown" "woods" "one" "none"
"2575" "edible" "brown" "woods" "one" "none"
"2576" "edible" "brown" "woods" "one" "none"
"2577" "edible" "gray" "woods" "one" "none"
"2578" "edible" "brown" "woods" "one" "none"
"2579" "edible" "gray" "woods" "one" "none"
"2580" "edible" "red" "woods" "one" "none"
"2581" "edible" "red" "woods" "one" "none"
"2582" "edible" "gray" "woods" "one" "none"
"2583" "edible" "red" "woods" "one" "none"
"2584" "edible" "brown" "woods" "one" "none"
"2585" "edible" "brown" "woods" "one" "none"
"2586" "edible" "gray" "woods" "one" "none"
"2587" "edible" "gray" "woods" "one" "none"
"2588" "edible" "red" "woods" "one" "none"
"2589" "edible" "brown" "woods" "one" "none"
"2590" "edible" "brown" "woods" "one" "none"
"2591" "edible" "red" "woods" "one" "none"
"2592" "edible" "brown" "woods" "one" "none"
"2593" "edible" "brown" "woods" "one" "none"
"2594" "edible" "brown" "woods" "one" "none"
"2595" "poison" "gray" "paths" "one" "foul"
"2596" "edible" "gray" "woods" "one" "none"
"2597" "edible" "brown" "woods" "one" "none"
"2598" "edible" "gray" "woods" "one" "none"
"2599" "edible" "gray" "woods" "one" "none"
"2600" "edible" "gray" "woods" "one" "none"
"2601" "edible" "brown" "woods" "one" "none"
"2602" "edible" "gray" "woods" "one" "none"
"2603" "edible" "brown" "woods" "one" "none"
"2604" "edible" "red" "woods" "one" "none"
"2605" "edible" "brown" "woods" "one" "none"
"2606" "poison" "gray" "paths" "one" "foul"
"2607" "edible" "red" "woods" "one" "none"
"2608" "edible" "brown" "woods" "one" "none"
"2609" "edible" "red" "woods" "one" "none"
"2610" "edible" "red" "woods" "one" "none"
"2611" "edible" "red" "woods" "one" "none"
"2612" "edible" "gray" "woods" "one" "none"
"2613" "edible" "brown" "woods" "one" "none"
"2614" "edible" "gray" "woods" "one" "none"
"2615" "edible" "gray" "woods" "one" "none"
"2616" "edible" "brown" "woods" "one" "none"
"2617" "edible" "gray" "woods" "one" "none"
"2618" "edible" "gray" "woods" "one" "none"
"2619" "edible" "brown" "woods" "one" "none"
"2620" "edible" "red" "woods" "one" "none"
"2621" "edible" "brown" "woods" "one" "none"
"2622" "edible" "red" "woods" "one" "none"
"2623" "edible" "brown" "woods" "one" "none"
"2624" "edible" "brown" "woods" "one" "none"
"2625" "edible" "red" "woods" "one" "none"
"2626" "edible" "gray" "woods" "one" "none"
"2627" "edible" "brown" "woods" "one" "none"
"2628" "poison" "gray" "woods" "one" "creosote"
"2629" "edible" "gray" "woods" "one" "none"
"2630" "edible" "brown" "woods" "one" "none"
"2631" "edible" "brown" "grasses" "one" "none"
"2632" "edible" "brown" "woods" "one" "none"
"2633" "edible" "gray" "woods" "one" "none"
"2634" "edible" "gray" "woods" "one" "none"
"2635" "edible" "gray" "woods" "one" "none"
"2636" "edible" "red" "woods" "one" "none"
"2637" "edible" "gray" "woods" "one" "none"
"2638" "edible" "gray" "woods" "one" "none"
"2639" "edible" "gray" "woods" "one" "none"
"2640" "edible" "brown" "woods" "one" "none"
"2641" "edible" "brown" "woods" "one" "none"
"2642" "edible" "red" "woods" "one" "none"
"2643" "edible" "red" "woods" "one" "none"
"2644" "edible" "brown" "woods" "one" "none"
"2645" "edible" "brown" "woods" "one" "none"
"2646" "edible" "gray" "woods" "one" "none"
"2647" "edible" "gray" "woods" "one" "none"
"2648" "edible" "white" "grasses" "one" "none"
"2649" "edible" "brown" "woods" "one" "none"
"2650" "edible" "gray" "woods" "one" "none"
"2651" "edible" "red" "woods" "one" "none"
"2652" "edible" "red" "woods" "one" "none"
"2653" "edible" "brown" "woods" "one" "none"
"2654" "edible" "brown" "woods" "one" "none"
"2655" "edible" "gray" "woods" "one" "none"
"2656" "edible" "brown" "woods" "one" "none"
"2657" "edible" "red" "woods" "one" "none"
"2658" "edible" "red" "woods" "one" "none"
"2659" "edible" "red" "woods" "one" "none"
"2660" "edible" "red" "woods" "one" "none"
"2661" "edible" "red" "woods" "one" "none"
"2662" "edible" "red" "woods" "one" "none"
"2663" "edible" "brown" "woods" "one" "none"
"2664" "edible" "gray" "woods" "one" "none"
"2665" "edible" "gray" "woods" "one" "none"
"2666" "edible" "gray" "woods" "one" "none"
"2667" "edible" "brown" "woods" "one" "none"
"2668" "edible" "red" "woods" "one" "none"
"2669" "edible" "red" "woods" "one" "none"
"2670" "edible" "gray" "woods" "one" "none"
"2671" "edible" "red" "woods" "one" "none"
"2672" "edible" "brown" "woods" "one" "none"
"2673" "edible" "red" "woods" "one" "none"
"2674" "edible" "brown" "woods" "one" "none"
"2675" "edible" "brown" "woods" "one" "none"
"2676" "edible" "brown" "woods" "one" "none"
"2677" "edible" "gray" "woods" "one" "none"
"2678" "edible" "red" "woods" "one" "none"
"2679" "edible" "red" "woods" "one" "none"
"2680" "edible" "gray" "woods" "one" "none"
"2681" "edible" "brown" "woods" "one" "none"
"2682" "edible" "brown" "woods" "one" "none"
"2683" "edible" "brown" "woods" "one" "none"
"2684" "poison" "pink" "woods" "one" "creosote"
"2685" "edible" "red" "woods" "one" "none"
"2686" "edible" "brown" "woods" "one" "none"
"2687" "edible" "red" "woods" "one" "none"
"2688" "edible" "brown" "woods" "one" "none"
"2689" "edible" "brown" "woods" "one" "none"
"2690" "edible" "gray" "woods" "one" "none"
"2691" "edible" "brown" "grasses" "one" "none"
"2692" "edible" "gray" "woods" "one" "none"
"2693" "edible" "brown" "woods" "one" "none"
"2694" "edible" "brown" "woods" "one" "none"
"2695" "edible" "gray" "woods" "one" "none"
"2696" "edible" "red" "woods" "one" "none"
"2697" "edible" "brown" "woods" "one" "none"
"2698" "poison" "gray" "grasses" "one" "foul"
"2699" "edible" "red" "woods" "one" "none"
"2700" "edible" "gray" "woods" "one" "none"
"2701" "edible" "red" "woods" "one" "none"
"2702" "edible" "red" "woods" "one" "none"
"2703" "edible" "red" "woods" "one" "none"
"2704" "edible" "brown" "woods" "one" "none"
"2705" "edible" "brown" "woods" "one" "none"
"2706" "edible" "brown" "woods" "one" "none"
"2707" "edible" "red" "woods" "one" "none"
"2708" "edible" "red" "woods" "one" "none"
"2709" "edible" "brown" "woods" "one" "none"
"2710" "edible" "gray" "woods" "one" "none"
"2711" "edible" "brown" "woods" "one" "none"
"2712" "edible" "red" "woods" "one" "none"
"2713" "edible" "red" "woods" "one" "none"
"2714" "edible" "red" "woods" "one" "none"
"2715" "edible" "red" "woods" "one" "none"
"2716" "edible" "brown" "woods" "one" "none"
"2717" "edible" "red" "woods" "one" "none"
"2718" "edible" "red" "woods" "one" "none"
"2719" "edible" "brown" "woods" "one" "none"
"2720" "edible" "red" "woods" "one" "none"
"2721" "edible" "brown" "woods" "one" "none"
"2722" "edible" "red" "woods" "one" "none"
"2723" "edible" "gray" "woods" "one" "none"
"2724" "edible" "brown" "woods" "one" "none"
"2725" "edible" "red" "woods" "one" "none"
"2726" "edible" "brown" "woods" "one" "none"
"2727" "edible" "red" "woods" "one" "none"
"2728" "edible" "gray" "woods" "one" "none"
"2729" "edible" "gray" "woods" "one" "none"
"2730" "edible" "brown" "woods" "one" "none"
"2731" "edible" "gray" "grasses" "one" "none"
"2732" "edible" "brown" "woods" "one" "none"
"2733" "edible" "gray" "woods" "one" "none"
"2734" "edible" "gray" "woods" "one" "none"
"2735" "edible" "brown" "woods" "one" "none"
"2736" "edible" "red" "woods" "one" "none"
"2737" "edible" "red" "woods" "one" "none"
"2738" "edible" "brown" "woods" "one" "none"
"2739" "edible" "red" "woods" "one" "none"
"2740" "edible" "red" "woods" "one" "none"
"2741" "edible" "brown" "woods" "one" "none"
"2742" "edible" "gray" "woods" "one" "none"
"2743" "edible" "red" "woods" "one" "none"
"2744" "edible" "brown" "woods" "one" "none"
"2745" "edible" "brown" "woods" "one" "none"
"2746" "edible" "red" "woods" "one" "none"
"2747" "edible" "gray" "woods" "one" "none"
"2748" "edible" "brown" "woods" "one" "none"
"2749" "edible" "gray" "woods" "one" "none"
"2750" "poison" "gray" "woods" "one" "creosote"
"2751" "edible" "brown" "woods" "one" "none"
"2752" "edible" "gray" "woods" "one" "none"
"2753" "edible" "brown" "woods" "one" "none"
"2754" "edible" "gray" "woods" "one" "none"
"2755" "edible" "brown" "woods" "one" "none"
"2756" "edible" "brown" "woods" "one" "none"
"2757" "edible" "brown" "woods" "one" "none"
"2758" "edible" "brown" "woods" "one" "none"
"2759" "edible" "brown" "woods" "one" "none"
"2760" "edible" "brown" "woods" "one" "none"
"2761" "edible" "gray" "woods" "one" "none"
"2762" "edible" "gray" "woods" "one" "none"
"2763" "edible" "gray" "woods" "one" "none"
"2764" "edible" "gray" "woods" "one" "none"
"2765" "edible" "brown" "woods" "one" "none"
"2766" "edible" "gray" "woods" "one" "none"
"2767" "poison" "gray" "woods" "one" "foul"
"2768" "edible" "brown" "woods" "one" "none"
"2769" "edible" "gray" "woods" "one" "none"
"2770" "edible" "gray" "woods" "one" "none"
"2771" "poison" "gray" "woods" "one" "foul"
"2772" "edible" "brown" "woods" "one" "none"
"2773" "edible" "red" "woods" "one" "none"
"2774" "edible" "brown" "woods" "one" "none"
"2775" "edible" "red" "woods" "one" "none"
"2776" "edible" "red" "woods" "one" "none"
"2777" "edible" "brown" "woods" "one" "none"
"2778" "edible" "brown" "woods" "one" "none"
"2779" "edible" "red" "woods" "one" "none"
"2780" "edible" "gray" "woods" "one" "none"
"2781" "edible" "brown" "woods" "one" "none"
"2782" "edible" "red" "woods" "one" "none"
"2783" "edible" "gray" "woods" "one" "none"
"2784" "edible" "gray" "woods" "one" "none"
"2785" "edible" "gray" "woods" "one" "none"
"2786" "edible" "brown" "woods" "one" "none"
"2787" "edible" "brown" "woods" "one" "none"
"2788" "edible" "red" "woods" "one" "none"
"2789" "edible" "gray" "grasses" "one" "none"
"2790" "edible" "red" "woods" "one" "none"
"2791" "edible" "gray" "woods" "one" "none"
"2792" "edible" "red" "woods" "one" "none"
"2793" "edible" "gray" "woods" "one" "none"
"2794" "edible" "brown" "woods" "one" "none"
"2795" "edible" "red" "woods" "one" "none"
"2796" "edible" "red" "woods" "one" "none"
"2797" "edible" "gray" "woods" "one" "none"
"2798" "poison" "white" "woods" "one" "creosote"
"2799" "edible" "red" "woods" "one" "none"
"2800" "edible" "red" "woods" "one" "none"
"2801" "edible" "brown" "woods" "one" "none"
"2802" "edible" "white" "grasses" "one" "none"
"2803" "edible" "gray" "woods" "one" "none"
"2804" "edible" "gray" "woods" "one" "none"
"2805" "edible" "gray" "woods" "one" "none"
"2806" "edible" "red" "woods" "one" "none"
"2807" "edible" "red" "woods" "one" "none"
"2808" "edible" "brown" "woods" "one" "none"
"2809" "edible" "red" "woods" "one" "none"
"2810" "edible" "red" "woods" "one" "none"
"2811" "edible" "red" "woods" "one" "none"
"2812" "edible" "brown" "woods" "one" "none"
"2813" "edible" "gray" "woods" "one" "none"
"2814" "edible" "gray" "woods" "one" "none"
"2815" "edible" "gray" "woods" "one" "none"
"2816" "edible" "red" "woods" "one" "none"
"2817" "edible" "brown" "woods" "one" "none"
"2818" "edible" "brown" "grasses" "one" "none"
"2819" "edible" "red" "woods" "one" "none"
"2820" "edible" "gray" "woods" "one" "none"
"2821" "edible" "brown" "woods" "one" "none"
"2822" "edible" "gray" "woods" "one" "none"
"2823" "edible" "red" "woods" "one" "none"
"2824" "edible" "brown" "woods" "one" "none"
"2825" "edible" "gray" "woods" "one" "none"
"2826" "edible" "gray" "woods" "one" "none"
"2827" "edible" "red" "woods" "one" "none"
"2828" "edible" "brown" "woods" "one" "none"
"2829" "edible" "gray" "woods" "one" "none"
"2830" "edible" "brown" "woods" "one" "none"
"2831" "edible" "red" "woods" "one" "none"
"2832" "edible" "red" "woods" "one" "none"
"2833" "edible" "brown" "woods" "one" "none"
"2834" "edible" "brown" "woods" "one" "none"
"2835" "edible" "gray" "woods" "one" "none"
"2836" "edible" "red" "woods" "one" "none"
"2837" "edible" "brown" "woods" "one" "none"
"2838" "edible" "brown" "woods" "one" "none"
"2839" "edible" "red" "woods" "one" "none"
"2840" "edible" "gray" "woods" "one" "none"
"2841" "edible" "gray" "woods" "one" "none"
"2842" "poison" "pink" "woods" "one" "creosote"
"2843" "edible" "brown" "woods" "one" "none"
"2844" "edible" "red" "woods" "one" "none"
"2845" "edible" "brown" "grasses" "one" "none"
"2846" "edible" "gray" "woods" "one" "none"
"2847" "edible" "gray" "woods" "one" "none"
"2848" "edible" "brown" "woods" "one" "none"
"2849" "edible" "gray" "woods" "one" "none"
"2850" "edible" "gray" "woods" "one" "none"
"2851" "edible" "brown" "woods" "one" "none"
"2852" "edible" "red" "woods" "one" "none"
"2853" "edible" "brown" "woods" "one" "none"
"2854" "edible" "gray" "woods" "one" "none"
"2855" "edible" "brown" "woods" "one" "none"
"2856" "edible" "gray" "woods" "one" "none"
"2857" "edible" "red" "woods" "one" "none"
"2858" "edible" "gray" "woods" "one" "none"
"2859" "edible" "gray" "woods" "one" "none"
"2860" "edible" "red" "woods" "one" "none"
"2861" "poison" "pink" "woods" "one" "creosote"
"2862" "edible" "brown" "woods" "one" "none"
"2863" "edible" "red" "woods" "one" "none"
