"hotel","site","price","check_in_date"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","Expedia","197","2016-01-07"
"Ramada Inn Eastside","BookIt.com","139","2016-01-07"
"Courtyard New York Manhattan - Chelsea","Official hotel website","207","2016-01-07"
"Pod 39","Hotwire","119","2016-01-07"
"Courtyard New York Times Square West","Official hotel website","216","2016-01-07"
"Hudson","priceline.com","162","2016-01-07"
"Park Central","Orbitz","178","2016-01-07"
"Cassa Times Square","priceline.com","207","2016-01-07"
"The Kitano New York","priceline.com","197","2016-01-07"
"New York Palace","Orbitz","","2016-01-07"
"Hotel Pennsylvania","Hotwire","118","2016-01-07"
"The Jane","Hotels.com","88","2016-01-07"
"Novotel New York Times Square","Hotwire","237","2016-01-07"
"Hampton Inn Manhattan-Seaport-Financial District","Orbitz","131","2016-01-07"
"Row NYC","Hotwire","177","2016-01-07"
"Hampton Inn New York - 35th Street - Empire State Building","Expedia","158","2016-01-07"
"Holiday Inn Express NYC Madison Square Garden","priceline.com","167","2016-01-07"
"The Leon Hotel","Travelocity","177","2016-01-07"
"Warwick New York","Travelocity","218","2016-01-07"
"Distrikt Hotel","Travelocity","177","2016-01-07"
"Doubletree New York City - Chelsea","Hotwire","151","2016-01-07"
"Holiday Inn Manhattan 6th Ave - Chelsea","priceline.com","165","2016-01-07"
"Wyndham New Yorker","Expedia","140","2016-01-07"
"Four Points by Sheraton Manhattan SoHo Village","Orbitz","207","2016-01-07"
"Doubletree Metropolitan","priceline.com","158","2016-01-07"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","Hotwire","197","2016-01-07"
"Ramada Inn Eastside","priceline.com","154","2016-01-07"
"Courtyard New York Manhattan - Chelsea","Booking.com","207","2016-01-07"
"Pod 39","Travelocity","119","2016-01-07"
"Courtyard New York Times Square West","Hotwire","193","2016-01-07"
"Hudson","Hotwire","163","2016-01-07"
"Park Central","Travelocity","178","2016-01-07"
"Cassa Times Square","Orbitz","","2016-01-07"
"The Kitano New York","Expedia","197","2016-01-07"
"New York Palace","Travelocity","","2016-01-07"
"Hotel Pennsylvania","priceline.com","128","2016-01-07"
"The Jane","Travelocity","88","2016-01-07"
"Novotel New York Times Square","Hotels.com","239","2016-01-07"
"Hampton Inn Manhattan-Seaport-Financial District","priceline.com","131","2016-01-07"
"Row NYC","Orbitz","177","2016-01-07"
"Hampton Inn New York - 35th Street - Empire State Building","Travelocity","158","2016-01-07"
"Holiday Inn Express NYC Madison Square Garden","Hotels.com","167","2016-01-07"
"The Leon Hotel","Hotwire","177","2016-01-07"
"Warwick New York","Hotwire","218","2016-01-07"
"Distrikt Hotel","Expedia","177","2016-01-07"
"Doubletree New York City - Chelsea","BookIt.com","151","2016-01-07"
"Holiday Inn Manhattan 6th Ave - Chelsea","Hotwire","165","2016-01-07"
"Wyndham New Yorker","Hotwire","140","2016-01-07"
"Four Points by Sheraton Manhattan SoHo Village","Hotwire","207","2016-01-07"
"Doubletree Metropolitan","Expedia","158","2016-01-07"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","Orbitz","197","2016-01-07"
"Ramada Inn Eastside","Hoteling","157","2016-01-07"
"Courtyard New York Manhattan - Chelsea","Amoma.com","227","2016-01-07"
"Pod 39","Expedia","119","2016-01-07"
"Courtyard New York Times Square West","Hoteling","267","2016-01-07"
"Hudson","Expedia","163","2016-01-07"
"Park Central","priceline.com","178","2016-01-07"
"Cassa Times Square","CheapTickets","","2016-01-07"
"The Kitano New York","Orbitz","197","2016-01-07"
"The Hotel at Times Square","priceline.com","104","2016-01-08"
"Grand Hyatt","priceline.com","143","2016-01-08"
"Holiday Inn New York City - Wall Street","Official hotel website","87","2016-01-08"
"The Jane","Travelocity","95","2016-01-08"
"Novotel New York Times Square","Official hotel website","133","2016-01-08"
"Royalton","TabletHotels","180","2016-01-08"
"Crowne Plaza Times Square Manhattan","Official hotel website","142","2016-01-08"
"The Leon Hotel","priceline.com","111","2016-01-08"
"Distrikt Hotel","Expedia","128","2016-01-08"
"Holiday Inn Manhattan 6th Ave - Chelsea","Official hotel website","102","2016-01-08"
"TRYP By Wyndham Times Square South","Hoteling","170","2016-01-08"
"Hotel Pennsylvania","Official hotel website","118","2016-01-08"
"Hilton New York","Hotwire","148","2016-01-08"
"Four Points by Sheraton Manhattan SoHo Village","priceline.com","104","2016-01-08"
"Doubletree Metropolitan","Hotwire","121","2016-01-08"
"New York Marriott Marquis","Official hotel website","160","2016-01-08"
"Ramada Inn Eastside","priceline.com","104","2016-01-08"
"Courtyard New York Manhattan - Chelsea","Official hotel website","103","2016-01-08"
"Hampton Inn Manhattan-Seaport-Financial District","Booking.com","103","2016-01-08"
"Pod 39","priceline.com","84","2016-01-08"
"Courtyard New York Times Square West","Official hotel website","133","2016-01-08"
"Four Points by Sheraton Midtown - Times Square","BookIt.com","94","2016-01-08"
"Hudson","Expedia","117","2016-01-08"
"Park Central","priceline.com","119","2016-01-08"
"Paramount","Hotwire","112","2016-01-08"
"The Hotel at Times Square","otel.com","111","2016-01-08"
"Grand Hyatt","otel.com","153","2016-01-08"
"Holiday Inn New York City - Wall Street","Expedia","87","2016-01-08"
"The Jane","Hotels.com","96","2016-01-08"
"Novotel New York Times Square","Hotwire","133","2016-01-08"
"Royalton","priceline.com","182","2016-01-08"
"Crowne Plaza Times Square Manhattan","priceline.com","127","2016-01-08"
"The Leon Hotel","Hotwire","131","2016-01-08"
"Distrikt Hotel","Orbitz","128","2016-01-08"
"Holiday Inn Manhattan 6th Ave - Chelsea","Hotels.com","102","2016-01-08"
"TRYP By Wyndham Times Square South","Travelocity","207","2016-01-08"
"Hotel Pennsylvania","otel.com","107","2016-01-08"
"Hilton New York","Hotels.com","148","2016-01-08"
"Four Points by Sheraton Manhattan SoHo Village","BookIt.com","104","2016-01-08"
"Doubletree Metropolitan","priceline.com","121","2016-01-08"
"New York Marriott Marquis","priceline.com","160","2016-01-08"
"Ramada Inn Eastside","HotelTravel","107","2016-01-08"
"Courtyard New York Manhattan - Chelsea","Booking.com","103","2016-01-08"
"Hampton Inn Manhattan-Seaport-Financial District","Orbitz","103","2016-01-08"
"Pod 39","Hotwire","84","2016-01-08"
"Courtyard New York Times Square West","Hotwire","118","2016-01-08"
"Four Points by Sheraton Midtown - Times Square","Hotwire","94","2016-01-08"
"Hudson","Travelocity","117","2016-01-08"
"Park Central","Hotwire","119","2016-01-08"
"Paramount","Expedia","112","2016-01-08"
"The Hotel at Times Square","Amoma.com","124","2016-01-08"
"Grand Hyatt","Orbitz","158","2016-01-08"
"Holiday Inn New York City - Wall Street","Amoma.com","171","2016-01-08"
"The Jane","Booking.com","98","2016-01-08"
"Novotel New York Times Square","Amoma.com","276","2016-01-08"
"Royalton","Hotwire","193","2016-01-08"
"Crowne Plaza Times Square Manhattan","Hotwire","142","2016-01-08"
"The Leon Hotel","Expedia","131","2016-01-08"
"Distrikt Hotel","Venere.com","128","2016-01-08"
"Holiday Inn Manhattan 6th Ave - Chelsea","Amoma.com","216","2016-01-08"
"TRYP By Wyndham Times Square South","Hotwire","207","2016-01-08"
"Hotel Pennsylvania","Hotels.com","119","2016-01-08"
"Hilton New York","priceline.com","148","2016-01-08"
"Four Points by Sheraton Manhattan SoHo Village","Orbitz","105","2016-01-08"
"Doubletree Metropolitan","Expedia","121","2016-01-08"
"New York Marriott Marquis","Amoma.com","256","2016-01-08"
"Ramada Inn Eastside","Amoma.com","124","2016-01-08"
"Courtyard New York Manhattan - Chelsea","Amoma.com","187","2016-01-08"
"Hampton Inn Manhattan-Seaport-Financial District","priceline.com","103","2016-01-08"
"Pod 39","Expedia","85","2016-01-08"
"Courtyard New York Times Square West","Amoma.com","226","2016-01-08"
"Four Points by Sheraton Midtown - Times Square","Hotels.com","94","2016-01-08"
"Hudson","Venere.com","117","2016-01-08"
"Park Central","Hotels.com","119","2016-01-08"
"Paramount","priceline.com","112","2016-01-08"
"The Leon Hotel","Orbitz","","2016-01-09"
"TRYP By Wyndham Times Square South","Expedia","318","2016-01-09"
"Le Belleclaire","Expedia","375","2016-01-09"
"Hyatt Place Flushing/LGA Airport","Hoteling","","2016-01-09"
"Mandarin Oriental New York","Orbitz","","2016-01-09"
"JW Marriott Essex House New York","Orbitz","808","2016-01-09"
"Best Western Plus Hospitality House","Orbitz","425","2016-01-09"
"The Plaza","Venere.com","4,895","2016-01-09"
"Doubletree Guest Suites Times Square","Booking.com","351","2016-01-09"
"Trump International Hotel & Tower New York","Official hotel website","1,840","2016-01-09"
"Hilton New York","HRS","","2016-01-09"
"The Kimberly Hotel","priceline.com","","2016-01-09"
"City Club","Orbitz","","2016-01-09"
"Blue Moon","Orbitz","","2016-01-09"
"Plaza Athenee New York","Venere.com","5,992","2016-01-09"
"Trump SoHo New York","Official hotel website","776","2016-01-09"
"Hampton Inn & Suites Rockville Centre","Orbitz","","2016-01-09"
"Ramada Rockville Centre","Orbitz","234","2016-01-09"
"Smyth Tribeca","Official hotel website","1,700","2016-01-09"
"Comfort Inn Chelsea","priceline.com","","2016-01-09"
"Comfort Inn Lower East Side","Easytobook","","2016-01-09"
"The Marmara Manhattan","Orbitz","","2016-01-09"
"Gardens NYC-an Affinia hotel","Venere.com","283","2016-01-09"
"Fairfield Inn & Suites New York Midtown Manhattan - Penn Station","Venere.com","389","2016-01-09"
"La Quinta Inn & Suites JFK Airport","Official hotel website","189","2016-01-09"
"The Leon Hotel","Expedia","","2016-01-09"
"TRYP By Wyndham Times Square South","Venere.com","318","2016-01-09"
"Le Belleclaire","Orbitz","422","2016-01-09"
"Hyatt Place Flushing/LGA Airport","","","2016-01-09"
"Mandarin Oriental New York","otel.com","","2016-01-09"
"JW Marriott Essex House New York","Expedia","808","2016-01-09"
"Best Western Plus Hospitality House","Booking.com","465","2016-01-09"
"The Plaza","Orbitz","","2016-01-09"
"Doubletree Guest Suites Times Square","HRS","","2016-01-09"
"Trump International Hotel & Tower New York","Expedia","1,840","2016-01-09"
"Hilton New York","priceline.com","","2016-01-09"
"The Kimberly Hotel","otel.com","","2016-01-09"
"City Club","priceline.com","","2016-01-09"
"Blue Moon","priceline.com","","2016-01-09"
"Plaza Athenee New York","Orbitz","","2016-01-09"
"Trump SoHo New York","otel.com","","2016-01-09"
"Hampton Inn & Suites Rockville Centre","HRS","","2016-01-09"
"Ramada Rockville Centre","HRS","","2016-01-09"
"Smyth Tribeca","Orbitz","","2016-01-09"
"Comfort Inn Chelsea","otel.com","","2016-01-09"
"Comfort Inn Lower East Side","Expedia","","2016-01-09"
"The Marmara Manhattan","otel.com","","2016-01-09"
"Gardens NYC-an Affinia hotel","Booking.com","403","2016-01-09"
"Fairfield Inn & Suites New York Midtown Manhattan - Penn Station","Orbitz","","2016-01-09"
"La Quinta Inn & Suites JFK Airport","Orbitz","","2016-01-09"
"The Leon Hotel","Hotels.com","","2016-01-09"
"TRYP By Wyndham Times Square South","Orbitz","399","2016-01-09"
"Le Belleclaire","Hoteling","464","2016-01-09"
"Hyatt Place Flushing/LGA Airport","","","2016-01-09"
"Mandarin Oriental New York","Expedia","","2016-01-09"
"JW Marriott Essex House New York","Venere.com","808","2016-01-09"
"Best Western Plus Hospitality House","priceline.com","","2016-01-09"
"The Plaza","Hotels.com","","2016-01-09"
"Doubletree Guest Suites Times Square","priceline.com","","2016-01-09"
"Trump International Hotel & Tower New York","Venere.com","1,840","2016-01-09"
"Hilton New York","otel.com","","2016-01-09"
"The Kimberly Hotel","GetaRoom","","2016-01-09"
"City Club","Easytobook","","2016-01-09"
"Blue Moon","otel.com","","2016-01-09"
"Plaza Athenee New York","otel.com","","2016-01-09"
"Trump SoHo New York","Easytobook","","2016-01-09"
"Hampton Inn & Suites Rockville Centre","priceline.com","","2016-01-09"
"Ramada Rockville Centre","priceline.com","","2016-01-09"
"Smyth Tribeca","otel.com","","2016-01-09"
"Comfort Inn Chelsea","GetaRoom","","2016-01-09"
"Comfort Inn Lower East Side","otel.com","","2016-01-09"
"The Marmara Manhattan","GetaRoom","","2016-01-09"
"Gardens NYC-an Affinia hotel","priceline.com","","2016-01-09"
"Fairfield Inn & Suites New York Midtown Manhattan - Penn Station","HRS","","2016-01-09"
"La Quinta Inn & Suites JFK Airport","priceline.com","","2016-01-09"
"Hampton Inn Manhattan - Times Square North","BookIt.com","120","2016-01-10"
"Hampton Inn Manhattan-Seaport-Financial District","Expedia","103","2016-01-10"
"La Quinta Inn & Suites Manhattan","Official hotel website","104","2016-01-10"
"Royalton","TabletHotels","180","2016-01-10"
"Crowne Plaza Times Square Manhattan","Official hotel website","125","2016-01-10"
"The Leon Hotel","priceline.com","111","2016-01-10"
"Warwick New York","priceline.com","163","2016-01-10"
"TRYP By Wyndham Times Square South","Hoteling","170","2016-01-10"
"Hotel Pennsylvania","Official hotel website","119","2016-01-10"
"Hilton New York","Hotwire","148","2016-01-10"
"Four Points by Sheraton Manhattan SoHo Village","Orbitz","112","2016-01-10"
"Doubletree Metropolitan","Hotwire","121","2016-01-10"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","BookIt.com","138","2016-01-10"
"Courtyard New York Manhattan - Chelsea","Official hotel website","110","2016-01-10"
"Pod 39","priceline.com","84","2016-01-10"
"Four Points by Sheraton Midtown - Times Square","BookIt.com","98","2016-01-10"
"Hudson","Hotwire","111","2016-01-10"
"Park Central","Travelocity","119","2016-01-10"
"Hilton Garden Inn New York - Midtown Park Avenue","priceline.com","","2016-01-10"
"Hotel 32 32","CheapTickets","162","2016-01-10"
"The Kitano New York","priceline.com","177","2016-01-10"
"Sofitel New York","Official hotel website","237","2016-01-10"
"Edison","Hotwire","100","2016-01-10"
"Fairfield Inn & Suites New York Manhattan - Times Square","Official hotel website","97","2016-01-10"
"The MAve NYC","Amoma.com","124","2016-01-10"
"Hampton Inn Manhattan - Times Square North","Orbitz","120","2016-01-10"
"Hampton Inn Manhattan-Seaport-Financial District","Booking.com","103","2016-01-10"
"La Quinta Inn & Suites Manhattan","priceline.com","104","2016-01-10"
"Royalton","priceline.com","182","2016-01-10"
"Crowne Plaza Times Square Manhattan","priceline.com","111","2016-01-10"
"The Leon Hotel","Hotwire","131","2016-01-10"
"Warwick New York","Amoma.com","164","2016-01-10"
"TRYP By Wyndham Times Square South","Travelocity","207","2016-01-10"
"Hotel Pennsylvania","otel.com","87","2016-01-10"
"Hilton New York","Hotels.com","148","2016-01-10"
"Four Points by Sheraton Manhattan SoHo Village","Hotwire","112","2016-01-10"
"Doubletree Metropolitan","priceline.com","121","2016-01-10"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","Hotwire","138","2016-01-10"
"Courtyard New York Manhattan - Chelsea","Booking.com","110","2016-01-10"
"Pod 39","Hotwire","84","2016-01-10"
"Four Points by Sheraton Midtown - Times Square","Hotels.com","98","2016-01-10"
"Hudson","BookIt.com","111","2016-01-10"
"Park Central","priceline.com","119","2016-01-10"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-10"
"Hotel 32 32","Orbitz","177","2016-01-10"
"The Kitano New York","Orbitz","177","2016-01-10"
"Sofitel New York","Venere.com","237","2016-01-10"
"Edison","priceline.com","100","2016-01-10"
"Fairfield Inn & Suites New York Manhattan - Times Square","Hotels.com","97","2016-01-10"
"The MAve NYC","Hoteling","134","2016-01-10"
"Hampton Inn Manhattan - Times Square North","priceline.com","120","2016-01-10"
"Hampton Inn Manhattan-Seaport-Financial District","Orbitz","103","2016-01-10"
"La Quinta Inn & Suites Manhattan","Hoteling","124","2016-01-10"
"Royalton","Hotwire","193","2016-01-10"
"Crowne Plaza Times Square Manhattan","Hotels.com","125","2016-01-10"
"The Leon Hotel","Hotels.com","132","2016-01-10"
"Warwick New York","GetaRoom","164","2016-01-10"
"TRYP By Wyndham Times Square South","Venere.com","207","2016-01-10"
"Hotel Pennsylvania","BookIt.com","119","2016-01-10"
"Hilton New York","priceline.com","148","2016-01-10"
"Four Points by Sheraton Manhattan SoHo Village","BookIt.com","112","2016-01-10"
"Doubletree Metropolitan","Orbitz","121","2016-01-10"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","Expedia","138","2016-01-10"
"Courtyard New York Manhattan - Chelsea","Hoteling","153","2016-01-10"
"Pod 39","Venere.com","85","2016-01-10"
"Four Points by Sheraton Midtown - Times Square","Expedia","103","2016-01-10"
"Hudson","Venere.com","111","2016-01-10"
"Park Central","Venere.com","119","2016-01-10"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-10"
"Hotel 32 32","Travelocity","","2016-01-10"
"The Kitano New York","Hotwire","177","2016-01-10"
"Sofitel New York","Prestigia","275","2016-01-10"
"Edison","Expedia","100","2016-01-10"
"Fairfield Inn & Suites New York Manhattan - Times Square","roomer","146","2016-01-10"
"The MAve NYC","HotelTravel","222","2016-01-10"
"The Hotel at Times Square","priceline.com","104","2016-01-11"
"Grand Hyatt","priceline.com","143","2016-01-11"
"Holiday Inn New York City - Wall Street","Official hotel website","87","2016-01-11"
"The Jane","Travelocity","95","2016-01-11"
"Novotel New York Times Square","Official hotel website","133","2016-01-11"
"Royalton","TabletHotels","180","2016-01-11"
"Crowne Plaza Times Square Manhattan","Official hotel website","142","2016-01-11"
"The Leon Hotel","priceline.com","111","2016-01-11"
"Distrikt Hotel","Expedia","128","2016-01-11"
"Holiday Inn Manhattan 6th Ave - Chelsea","Official hotel website","102","2016-01-11"
"TRYP By Wyndham Times Square South","Hoteling","170","2016-01-11"
"Hotel Pennsylvania","Official hotel website","118","2016-01-11"
"Hilton New York","Hotwire","148","2016-01-11"
"Four Points by Sheraton Manhattan SoHo Village","priceline.com","104","2016-01-11"
"Doubletree Metropolitan","Hotwire","121","2016-01-11"
"New York Marriott Marquis","Official hotel website","160","2016-01-11"
"Ramada Inn Eastside","priceline.com","104","2016-01-11"
"Courtyard New York Manhattan - Chelsea","Official hotel website","103","2016-01-11"
"Hampton Inn Manhattan-Seaport-Financial District","Booking.com","103","2016-01-11"
"Pod 39","priceline.com","84","2016-01-11"
"Courtyard New York Times Square West","Official hotel website","133","2016-01-11"
"Four Points by Sheraton Midtown - Times Square","BookIt.com","94","2016-01-11"
"Hudson","Expedia","117","2016-01-11"
"Park Central","priceline.com","119","2016-01-11"
"Paramount","Hotwire","112","2016-01-11"
"The Hotel at Times Square","otel.com","111","2016-01-11"
"Grand Hyatt","otel.com","153","2016-01-11"
"Holiday Inn New York City - Wall Street","Expedia","87","2016-01-11"
"The Jane","Hotels.com","96","2016-01-11"
"Novotel New York Times Square","Hotwire","133","2016-01-11"
"Royalton","priceline.com","182","2016-01-11"
"Crowne Plaza Times Square Manhattan","priceline.com","127","2016-01-11"
"The Leon Hotel","Hotwire","131","2016-01-11"
"Distrikt Hotel","Orbitz","128","2016-01-11"
"Holiday Inn Manhattan 6th Ave - Chelsea","Hotels.com","102","2016-01-11"
"TRYP By Wyndham Times Square South","Travelocity","207","2016-01-11"
"Hotel Pennsylvania","otel.com","107","2016-01-11"
"Hilton New York","Hotels.com","148","2016-01-11"
"Four Points by Sheraton Manhattan SoHo Village","BookIt.com","104","2016-01-11"
"Doubletree Metropolitan","priceline.com","121","2016-01-11"
"New York Marriott Marquis","priceline.com","160","2016-01-11"
"Ramada Inn Eastside","HotelTravel","107","2016-01-11"
"Courtyard New York Manhattan - Chelsea","Booking.com","103","2016-01-11"
"Hampton Inn Manhattan-Seaport-Financial District","Orbitz","103","2016-01-11"
"Pod 39","Hotwire","84","2016-01-11"
"Courtyard New York Times Square West","Hotwire","118","2016-01-11"
"Four Points by Sheraton Midtown - Times Square","Hotwire","94","2016-01-11"
"Hudson","Travelocity","117","2016-01-11"
"Park Central","Hotwire","119","2016-01-11"
"Paramount","Expedia","112","2016-01-11"
"The Hotel at Times Square","Amoma.com","124","2016-01-11"
"Grand Hyatt","Orbitz","158","2016-01-11"
"Holiday Inn New York City - Wall Street","Amoma.com","171","2016-01-11"
"The Jane","Booking.com","98","2016-01-11"
"Novotel New York Times Square","Amoma.com","276","2016-01-11"
"Royalton","Hotwire","193","2016-01-11"
"Crowne Plaza Times Square Manhattan","Hotwire","142","2016-01-11"
"The Leon Hotel","Expedia","131","2016-01-11"
"Distrikt Hotel","Venere.com","128","2016-01-11"
"Holiday Inn Manhattan 6th Ave - Chelsea","Amoma.com","216","2016-01-11"
"TRYP By Wyndham Times Square South","Hotwire","207","2016-01-11"
"Hotel Pennsylvania","Hotels.com","119","2016-01-11"
"Hilton New York","priceline.com","148","2016-01-11"
"Four Points by Sheraton Manhattan SoHo Village","Orbitz","105","2016-01-11"
"Doubletree Metropolitan","Expedia","121","2016-01-11"
"New York Marriott Marquis","Amoma.com","256","2016-01-11"
"Ramada Inn Eastside","Amoma.com","124","2016-01-11"
"Courtyard New York Manhattan - Chelsea","Amoma.com","187","2016-01-11"
"Hampton Inn Manhattan-Seaport-Financial District","priceline.com","103","2016-01-11"
"Pod 39","Expedia","85","2016-01-11"
"Courtyard New York Times Square West","Amoma.com","226","2016-01-11"
"Four Points by Sheraton Midtown - Times Square","Hotels.com","94","2016-01-11"
"Hudson","Venere.com","117","2016-01-11"
"Park Central","Hotels.com","119","2016-01-11"
"Paramount","priceline.com","112","2016-01-11"
"Holiday Inn New York City - Wall Street","Official hotel website","218","2016-01-12"
"Crowne Plaza Times Square Manhattan","Official hotel website","327","2016-01-12"
"The Leon Hotel","Orbitz","","2016-01-12"
"New York Palace","Hoteling","895","2016-01-12"
"Holiday Inn Manhattan 6th Ave - Chelsea","Official hotel website","211","2016-01-12"
"TRYP By Wyndham Times Square South","Amoma.com","372","2016-01-12"
"Hotel Pennsylvania","Official hotel website","215","2016-01-12"
"Hilton New York","Expedia","304","2016-01-12"
"Row NYC","Hotels.com","265","2016-01-12"
"Wyndham New Yorker","Hotels.com","283","2016-01-12"
"Four Points by Sheraton Manhattan SoHo Village","Orbitz","257","2016-01-12"
"New York Marriott Marquis","Expedia","360","2016-01-12"
"Courtyard New York Times Square West","Orbitz","277","2016-01-12"
"Four Points by Sheraton Midtown - Times Square","Hotels.com","227","2016-01-12"
"Hudson","BookIt.com","285","2016-01-12"
"Hilton Garden Inn New York - Midtown Park Avenue","priceline.com","","2016-01-12"
"The Roxy Hotel","Orbitz","","2016-01-12"
"Cassa Times Square","Orbitz","","2016-01-12"
"Hotel 32 32","Orbitz","704","2016-01-12"
"Sofitel New York","Venere.com","724","2016-01-12"
"Fairfield Inn & Suites New York Manhattan - Times Square","Hotels.com","304","2016-01-12"
"The MAve NYC","Orbitz","","2016-01-12"
"Hilton Garden Inn Central Park South Midtown West","Orbitz","452","2016-01-12"
"Refinery Hotel","Orbitz","452","2016-01-12"
"1  Central Park","Orbitz","","2016-01-12"
"Holiday Inn New York City - Wall Street","Hotels.com","218","2016-01-12"
"Crowne Plaza Times Square Manhattan","Orbitz","327","2016-01-12"
"The Leon Hotel","Expedia","","2016-01-12"
"New York Palace","Orbitz","","2016-01-12"
"Holiday Inn Manhattan 6th Ave - Chelsea","Hotels.com","215","2016-01-12"
"TRYP By Wyndham Times Square South","Hotels.com","378","2016-01-12"
"Hotel Pennsylvania","otel.com","183","2016-01-12"
"Hilton New York","Hotels.com","304","2016-01-12"
"Row NYC","Expedia","265","2016-01-12"
"Wyndham New Yorker","Hoteling","335","2016-01-12"
"Four Points by Sheraton Manhattan SoHo Village","Expedia","257","2016-01-12"
"New York Marriott Marquis","Hotels.com","360","2016-01-12"
"Courtyard New York Times Square West","Hotels.com","277","2016-01-12"
"Four Points by Sheraton Midtown - Times Square","Orbitz","274","2016-01-12"
"Hudson","Orbitz","","2016-01-12"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-12"
"The Roxy Hotel","otel.com","","2016-01-12"
"Cassa Times Square","priceline.com","","2016-01-12"
"Hotel 32 32","GetaRoom","","2016-01-12"
"Sofitel New York","Hotels.com","724","2016-01-12"
"Fairfield Inn & Suites New York Manhattan - Times Square","Orbitz","","2016-01-12"
"The MAve NYC","HRS","","2016-01-12"
"Hilton Garden Inn Central Park South Midtown West","Hotelsclick.com","","2016-01-12"
"Refinery Hotel","Hotels.com","452","2016-01-12"
"1  Central Park","Hotels.com","","2016-01-12"
"Holiday Inn New York City - Wall Street","Orbitz","","2016-01-12"
"Crowne Plaza Times Square Manhattan","Hotels.com","327","2016-01-12"
"The Leon Hotel","Hotels.com","","2016-01-12"
"New York Palace","otel.com","","2016-01-12"
"Holiday Inn Manhattan 6th Ave - Chelsea","Amoma.com","331","2016-01-12"
"TRYP By Wyndham Times Square South","Venere.com","378","2016-01-12"
"Hotel Pennsylvania","Orbitz","225","2016-01-12"
"Hilton New York","HRS","","2016-01-12"
"Row NYC","Orbitz","309","2016-01-12"
"Wyndham New Yorker","Orbitz","","2016-01-12"
"Four Points by Sheraton Manhattan SoHo Village","Hotels.com","257","2016-01-12"
"New York Marriott Marquis","HRS","","2016-01-12"
"Courtyard New York Times Square West","Hotel.info","","2016-01-12"
"Four Points by Sheraton Midtown - Times Square","priceline.com","","2016-01-12"
"Hudson","priceline.com","","2016-01-12"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-12"
"The Roxy Hotel","GetaRoom","","2016-01-12"
"Cassa Times Square","Hotelsclick.com","","2016-01-12"
"Hotel 32 32","Hoteling","","2016-01-12"
"Sofitel New York","Orbitz","","2016-01-12"
"Fairfield Inn & Suites New York Manhattan - Times Square","HRS","","2016-01-12"
"The MAve NYC","otel.com","","2016-01-12"
"Hilton Garden Inn Central Park South Midtown West","Expedia","","2016-01-12"
"Refinery Hotel","Venere.com","452","2016-01-12"
"1  Central Park","Expedia","","2016-01-12"
"The Hotel at Times Square","priceline.com","104","2016-01-13"
"Grand Hyatt","priceline.com","143","2016-01-13"
"Holiday Inn New York City - Wall Street","Official hotel website","87","2016-01-13"
"Hampton Inn Manhattan-Seaport-Financial District","Expedia","103","2016-01-13"
"The Jane","Travelocity","95","2016-01-13"
"Novotel New York Times Square","Official hotel website","133","2016-01-13"
"Royalton","TabletHotels","180","2016-01-13"
"Crowne Plaza Times Square Manhattan","Official hotel website","142","2016-01-13"
"The Leon Hotel","priceline.com","111","2016-01-13"
"Distrikt Hotel","Hotwire","128","2016-01-13"
"Holiday Inn Manhattan 6th Ave - Chelsea","Official hotel website","102","2016-01-13"
"TRYP By Wyndham Times Square South","Hoteling","170","2016-01-13"
"Hotel Pennsylvania","Official hotel website","118","2016-01-13"
"Hilton New York","Hotwire","148","2016-01-13"
"Four Points by Sheraton Manhattan SoHo Village","priceline.com","104","2016-01-13"
"Doubletree Metropolitan","Hotwire","121","2016-01-13"
"New York Marriott Marquis","Official hotel website","160","2016-01-13"
"Ramada Inn Eastside","priceline.com","104","2016-01-13"
"Courtyard New York Manhattan - Chelsea","Official hotel website","103","2016-01-13"
"Pod 39","priceline.com","84","2016-01-13"
"Courtyard New York Times Square West","Official hotel website","133","2016-01-13"
"Four Points by Sheraton Midtown - Times Square","BookIt.com","94","2016-01-13"
"Hudson","Hotwire","117","2016-01-13"
"Park Central","priceline.com","119","2016-01-13"
"Hilton Garden Inn New York - Midtown Park Avenue","priceline.com","","2016-01-13"
"The Hotel at Times Square","otel.com","111","2016-01-13"
"Grand Hyatt","otel.com","153","2016-01-13"
"Holiday Inn New York City - Wall Street","Expedia","87","2016-01-13"
"Hampton Inn Manhattan-Seaport-Financial District","Booking.com","103","2016-01-13"
"The Jane","Hotels.com","96","2016-01-13"
"Novotel New York Times Square","Hotwire","133","2016-01-13"
"Royalton","priceline.com","182","2016-01-13"
"Crowne Plaza Times Square Manhattan","priceline.com","127","2016-01-13"
"The Leon Hotel","Hotwire","131","2016-01-13"
"Distrikt Hotel","Expedia","128","2016-01-13"
"Holiday Inn Manhattan 6th Ave - Chelsea","Hotels.com","102","2016-01-13"
